src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
LOG-LOSA-49,LOG-LOSA-50,133292,113999,4931810,7979936,0,6
LOG-LOSA-49,LOG-LOSA-63,133292,104890,4931810,2307581,0,7
LOG-LOSA-49,LOG-LOSA-74,133292,170074,4931810,3061331,0,2
LOG-LOSA-50,LOG-LOSA-04,113999,79351,7979936,317405,0,4
LOG-LOSA-51,LOG-LOSA-03,92849,65760,2042688,1512491,0,6
LOG-LOSA-51,LOG-LOSA-42,92849,0,2042688,0,0,2
LOG-LOSA-51,LOG-LOSA-47,92849,70175,2042688,771929,0.022097632,0
LOG-LOSA-51,LOG-LOSA-55,92849,0,2042688,0,0.021891366,0
LOG-LOSA-51,LOG-LOSA-56,92849,58868,2042688,235473,0,2
LOG-LOSA-51,LOG-LOSA-79,92849,118934,2042688,14509976,0,2
LOG-LOSA-51,LOG-LOSA-86,92849,108623,2042688,868986,3.02E-07,0
LOG-LOSA-52,LOG-LOSA-65,79062,0,158125,0,0.141942531,0
LOG-LOSA-53,LOG-LOSA-65,80212,0,1363597,0,0.045917862,0
LOG-LOSA-54,LOG-LOSA-60,64209,78296,1027350,1174444,0,3
LOG-LOSA-55,LOG-LOSA-57,0,90120,0,1171556,0.021356126,0
LOG-LOSA-55,LOG-LOSA-60,0,78296,0,1174444,0,1
LOG-LOSA-56,LOG-LOSA-58,58868,83110,235473,1579094,1.12E-05,0
LOG-LOSA-56,LOG-LOSA-79,58868,118934,235473,14509976,0,2
LOG-LOSA-57,LOG-LOSA-56,90120,58868,1171556,235473,0.03112626,0
LOG-LOSA-57,LOG-LOSA-58,90120,83110,1171556,1579094,0,2
LOG-LOSA-57,LOG-LOSA-59,90120,75707,1171556,1135612,0,4
LOG-LOSA-57,LOG-LOSA-60,90120,78296,1171556,1174444,2.30E-07,0
LOG-LOSA-58,LOG-LOSA-79,83110,118934,1579094,14509976,0,3
LOG-LOSA-59,LOG-LOSA-58,75707,83110,1135612,1579094,0.021284912,0
LOG-LOSA-59,LOG-LOSA-60,75707,78296,1135612,1174444,0.020248511,0
LOG-LOSA-59,LOG-LOSA-79,75707,118934,1135612,14509976,0,2
LOG-LOSA-60,LOG-LOSA-42,78296,0,1174444,0,0,2
LOG-LOSA-61,LOG-LOSA-11,0,0,0,0,0.049855804,0
LOG-LOSA-61,LOG-LOSA-33,0,82285,0,2139409,0.059047848,0
LOG-LOSA-62,LOG-LOSA-03,53177,65760,638127,1512491,0.056471241,0
LOG-LOSA-62,LOG-LOSA-51,53177,92849,638127,2042688,0,2
LOG-LOSA-62,LOG-LOSA-86,53177,108623,638127,868986,0.004609,0
LOG-LOSA-64,LOG-LOSA-05,70652,0,8336927,0,0,6
LOG-LOSA-64,LOG-LOSA-11,70652,0,8336927,0,0,3
LOG-LOSA-64,LOG-LOSA-19,70652,85069,8336927,6210051,0.073777067,0
LOG-LOSA-64,LOG-LOSA-33,70652,82285,8336927,2139409,0.105687199,0
LOG-LOSA-64,LOG-LOSA-53,70652,80212,8336927,1363597,0,2
LOG-LOSA-64,LOG-LOSA-61,70652,0,8336927,0,0.036542042,0
LOG-LOSA-64,LOG-LOSA-65,70652,0,8336927,0,0.15863816,0
LOG-LOSA-65,LOG-LOSA-73,0,43000,0,129000,0.064764146,0
